"품목별(1)","품목별(2)",품목별(3),시점,수출액 (천달러),수입액 (천달러)
"총액","소계",소계,2025.09,65914610,56399502
"총액","소계",소계,2025.10,59505227,53493854
"총액","소계",소계,2025.11,61032963,51292544
"식품 및 산동물","소계",소계,2025.09,888254,3109964
"식품 및 산동물","소계",소계,2025.10,741287,2685495
"식품 및 산동물","소계",소계,2025.11,804721,2637403
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물",소계,2025.09,689,5245
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물",소계,2025.10,543,5990
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물",소계,2025.11,445,7946
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물",중분류 03의 동물을 제외한 산 동물,2025.09,689,5245
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물",중분류 03의 동물을 제외한 산 동물,2025.10,543,5990
"식품 및 산동물","중분류 03의 동물을 제외한 산 동물",중분류 03의 동물을 제외한 산 동물,2025.11,445,7946
"식품 및 산동물","고기및 고기 조제품",소계,2025.09,14830,643788
"식품 및 산동물","고기및 고기 조제품",소계,2025.10,16692,535237
"식품 및 산동물","고기및 고기 조제품",소계,2025.11,16125,499234
"식품 및 산동물","고기및 고기 조제품",쇠고기신선냉장 또는 냉동한 것,2025.09,521,357881
"식품 및 산동물","고기및 고기 조제품",쇠고기신선냉장 또는 냉동한 것,2025.10,246,255044
"식품 및 산동물","고기및 고기 조제품",쇠고기신선냉장 또는 냉동한 것,2025.11,561,231393
"식품 및 산동물","고기및 고기 조제품",기타 고기 및 식용 설육신선냉장 또는 냉동한 것,2025.09,5941,256869
"식품 및 산동물","고기및 고기 조제품",기타 고기 및 식용 설육신선냉장 또는 냉동한 것,2025.10,8053,255585
"식품 및 산동물","고기및 고기 조제품",기타 고기 및 식용 설육신선냉장 또는 냉동한 것,2025.11,7428,243097
"식품 및 산동물","고기및 고기 조제품",고기 및 실용석육염장염수장건조 또는 훈제한 것,2025.09,2,1582
"식품 및 산동물","고기및 고기 조제품",고기 및 실용석육염장염수장건조 또는 훈제한 것,2025.10,29,1570
"식품 및 산동물","고기및 고기 조제품",고기 및 실용석육염장염수장건조 또는 훈제한 것,2025.11,56,1678
"식품 및 산동물","고기및 고기 조제품",달리 명시되지 않은 조제 또는 저장한 고기 및 설육,2025.09,8367,27456
"식품 및 산동물","고기및 고기 조제품",달리 명시되지 않은 조제 또는 저장한 고기 및 설육,2025.10,8363,23038
"식품 및 산동물","고기및 고기 조제품",달리 명시되지 않은 조제 또는 저장한 고기 및 설육,2025.11,8080,23066
"식품 및 산동물","낙농품 및 새알",소계,2025.09,15913,177826
"식품 및 산동물","낙농품 및 새알",소계,2025.10,12454,138127
"식품 및 산동물","낙농품 및 새알",소계,2025.11,12148,129268
